finding_id,severity,title,owner,status,commits,verification,limits
RVA-10-001,P2,Native provider results can publish after the server identity or active workspace has changed,Native,Repaired,ebeba8e b6ac8f6 658173b,72 stale success/error cases; six cancellations; normal controls; iOS simulator build,Controlled transports; live providers not contacted
RVA-02-002,P2,"1800-character excerpt cut can split a value, unit or negation with no marker",Extraction and evidence,Repaired,45d2d97 00b6b95 5842501 658173b,Complete-line/numeric/negation/legacy omission native and browser regressions; typecheck and builds,
RVA-02-005,P2,Fixture-wrapper stripping is applied to every user document,Extraction and evidence,Repaired,45d2d97 00b6b95,Explicit demo boundary; user text and post-footer append preservation; native/browser tests,
RVA-05-004,P2,Native mixed PDF pages can skip raster text when a short embedded header passes the OCR threshold,Extraction and evidence,Repaired,90c3e5f 658173b,Real PDFKit and Vision mixed-PDF raster/header and 10-page OCR cap checks; iOS build,Synthetic printed English PDF; no physical iPhone camera; OCR is not guaranteed exact
RVA-07-001,P2,Mixed PDF pages with a text header skip OCR of their scanned medical content without an incomplete warning,Extraction and evidence,Repaired,90c3e5f 658173b,Real PDF.js parse/render with controlled OCR; mixed-page and 10-page cap tests; web build,Tesseract recognition mocked in automated tests; real printed-text recognition verified only with Vision
RVA-05-001,P2,Visit-notes editor saves a stale whole VisitRecording and can erase a transcript that arrived while the sheet was open,Native,Repaired,192e39e b6ac8f6,Notes saved after transcript arrival preserve transcript/audio; deletion rejection; iOS build,Physical recording/transcription not exercised
RVA-04-005,P2,Native record editor can replace a newly saved AI summary with its stale draft,Native,Repaired,192e39e 26bcbea b6ac8f6 658173b,Actual provider/editor merge regression; stale/deleted source rejection; iOS build,SwiftUI editor interaction not exercised on device
RVA-08-001,P2,Questions-and-notes editor compares against live props and can erase questions generated after it opened,Browser and release,Repaired,9758ca5 658173b,Five merge tests plus rendered editor generated-response and conflict UI checks,
RVA-03-001,P2,Startup repair save failure hides a valid loaded snapshot and offers only an unconfirmed demo reset,Native,Repaired,ebeba8e b6ac8f6,Two startup repair filesystem failures retain snapshot; confirmation source review; iOS build,Rendered recovery confirmation not exercised
RVA-05-008,P2,"After a successful finish(), a failed metadata save orphans the finalised audio with no retry path",Native,Repaired,192e39e b6ac8f6 658173b,Repository failure then same-ID/audio retry through production save draft; iOS build,Retry/dismissal UI source-reviewed; physical audio remains a device check
RVA-05-002,P2,A failed finish() leaves the recorder in a dead-end paused state whose only guidance is contradictory,Native,Repaired,192e39e b6ac8f6 1f4b50e,Production audio methods with codec/device doubles; callback negative control; iOS build,Device permissions; physical interruptions and real codec output remain device checks
RVA-04-001,P2,"Native visit ordering compares raw ISO strings, so offset-formatted seed visits and Z-formatted user visits misorder; Summary can show the wrong next visit",Native,Repaired,ebeba8e b6ac8f6,Parsed offset/UTC ordering and tie regression; iOS build,
RVA-16-001,P2,Vercel setup guide specifies conflicting project roots with different deployment configurations,Browser and release,Repaired,8841794,Root-only config and consistent deployment docs; exact entry routes; JSON and build verification,Hosted Vercel settings/deployment not changed or verified; account feature remains separate WIP
RVA-14-001,P2,Tablet navigation hides its only accessible link names,Browser and release,Repaired,d874c71 658173b,Actual 768px Computer accessibility tree and six keyboard destinations,375/1440 widths and other browser engines not exercised in this repair UI pass
RVA-02-004,P3,Generic goal words become relevance terms and the fixture trailer is indexed,Extraction and evidence,Repaired,45d2d97 658173b,Native/browser generic-term and fixture-wrapper relevance tests; shared source-rules-v2 signature vectors,
RVA-02-006,P3,RevaDate.display(time: false) renders the UTC calendar day of instants,Extraction and evidence,Repaired,45d2d97,Native/browser timezone and date-only tests,
RVA-04-004,P3,'Create pre-visit brief' silently does nothing while a Gemini summary is in flight (connected AI on),Native,Repaired,ebeba8e b6ac8f6,Busy attempt makes no request and displays retry notice; later request succeeds; iOS build,
RVA-04-006,P3,"Camera-scanned documents are saved as kind 'Notes', so the 'Scan' filter misses them; record kind is never user-editable",Extraction and evidence,Repaired,e54cbdd,Explicit scan origin reviewed through intake call site; iOS build,No physical iPhone scan
RVA-04-007,P3,"ReportView question numbers use accent (heart red) on petal for 12pt bold caption text: 4.45:1, below the theme's own AA guidance",Extraction and evidence,Repaired,45d2d97,Deep-heart caption token reviewed; iOS build,No device screenshot contrast inspection
RVA-04-008,P3,"Exported visit-brief PDF still uses the superseded teal (#0A5B6C) for title, headings and header instead of the heart palette",Extraction and evidence,Repaired,e54cbdd,Approved heart #B84250 replaces PDF teal; source review and iOS build,No rendered UIKit PDF visual inspection
RVA-07-002,P3,Failed browser import saves leave unused attachment keys and retries allocate new keys,Browser and release,Repaired,da015d0 8716c31,Three production store/IndexedDB import transaction tests; quota rollback and CAS retries,
RVA-14-002,P3,Selected source text becomes dark text on a dark selection background,Browser and release,Repaired,d874c71,Actual source-text selection; white/deep-red computed contrast 8.124:1,OS high-contrast modes and other browser engines not exercised
RVA-16-002,P3,Clean browser typecheck and tests depend on generated assets without preparing them,Browser and release,Repaired,8b1b90d,Standalone clean asset regeneration before tests/typecheck; production build,
