rank,id,severity,title,owner,file,line,trigger,smallest_fix,regression_check,dependency_and_coordination,evidence,status
1,RVA-06-001,P2,Server originals are never pruned and every referenced original is re-uploaded on each push; owner quota can be exhausted with no browser remedy,A: Native and domain,apps/web/src/core/store.ts,520,"Over the life of one owner token, import and later delete records (or record a few audio memories and delete them), pushing after each change; or let several conflicting (409) pushes upload originals. Each push re-sends every original still referenced by the snapshot; originals of deleted records, and originals uploaded by a push whose CAS later failed, stay on the server forever.","Before each upload, skip originals whose id the server already holds (a HEAD/GET-by-id probe or a server-returned attachment index), and after a successful push delete server attachments that the pushed snapshot no longer references (api.deleteAttachment is already implemented). Alternatively document the cap and provide an explicit 'remove unreferenced server originals' action.","Store test: push twice with an unchanged snapshot and assert uploadAttachment is called once per original on the first push and zero times on the second; delete a record, push, and assert deleteAttachment is called for its filename. Server-side: after those pushes the owner document's attachment count equals the number of referenced originals.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source proof: store.ts:520-524 (upload loop), store.ts:23-36 (APITransport lacks delete operations), api.ts:224-226 and 249-252 (unused delete methods), server/Sources/RevaServer/LocalFileStore.swift:110-121 (quota counts orphans), server/Sources/RevaServer/Models.swift:126-128 (caps). Bounded measurement from the snapshot: seed references 9 distinct originals totalling 618,312 bytes (python over apps/ios/Reva/Resources/{seed,fixture-manifest}.json). Refutation attempt: checked whether uploads are idempotent no-ops server-side (they overwrite the same id, so bytes are not duplicated) and whether the seed alone could hit the cap (it cannot: 9 files); the finding therefore concerns long-lived owners and failed pushes, hence P2 candidate rather than confirmed main-path defect. | Independent validation: core/store.ts:520-524; server LocalFileStore.swift:108-121; browser README.md:56; RecordDetail.tsx:284-286 documents retained originals.",suggestion
2,RVA-01-002,P3,"Historical planning docs lack superseded banners and still assert deferred browser, Identity Platform without password storage, Cloud Storage/Tasks/Document AI, SwiftData and a 50 MB limit",A: Native and domain,docs/reva-stack-spec.md,4,"A new contributor or the concurrent accounts implementer reads docs/reva-stack-spec.md, docs/mvp-goal.md:15, docs/project-overview-packet.md:7,155 or docs/verification/profile-symptoms.md:11 for current scope.","Add one blockquote banner line at the top of each file pointing to docs/reva-style-plan.md:1, docs/architecture.md, docs/task-specs/web-client.md and docs/task-specs/accounts-and-tiger.md.",grep -n -m1 '^> ' docs/reva-stack-spec.md docs/mvp-goal.md docs/project-overview-packet.md docs/verification/profile-symptoms.md returns a banner for each file.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '1,4p;14p;62p;71,75p;95p;168p' docs/reva-stack-spec.md; sed -n '15p' docs/mvp-goal.md; sed -n '3p;7p;155p' docs/project-overview-packet.md; sed -n '11p' docs/verification/profile-symptoms.md; sed -n '1p' docs/completion-criteria.md docs/task-list.md docs/verification/README.md; sed -n '49p' docs/reviews/04-heart-red-palette.md. | Independent validation: Frozen docs/reva-stack-spec.md:4; reports/00-supervisor-brief.md Addendum1 and evidence/context/reva-stack-spec.md.",suggestion
3,RVA-01-005,P3,"Ownership table has no owner for apps/web/src/landing/**, and the concurrent contract's A/B/C split overlaps Captain-owned browser files without reconciliation",A: Native and domain,docs/team-workflow.md,19,"The accounts implementer (contract role B, owning all apps/web/**) edits SettingsPage.tsx, main.tsx or core/store.ts (contract lines 92-101) while a teammate follows docs/team-workflow.md, or someone edits the new landing files.","Add one line to docs/team-workflow.md mapping contract roles A/B/C onto Person 3 / Captain plus Person 1-2 by feature directory / Captain, and declare apps/web/src/landing/** and src/styles/landing.css Captain-owned.",None (documentation); grep -n 'landing' docs/team-workflow.md returns the new row.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '13,22p;106p' docs/team-workflow.md; /Users/tempadmin/Documents/Reva/docs/task-specs/accounts-and-tiger.md lines 112-117 (sed -n '112,117p'); find apps/web/src/landing -type f (Landing.tsx, AccountGate.tsx); sed -n '1,6p' apps/web/src/styles/landing.css. | Independent validation: docs/team-workflow.md:17-20; frozen evidence/context/accounts-and-tiger.md role contract; captured landing directory.",suggestion
4,RVA-01-007,P3,Four relative links in docs/reviews/acceptance-audit.md point at moved native files under apps/ios/Reva/UI/,A: Native and domain,docs/reviews/acceptance-audit.md,33,"Click the source links at lines 33, 35 and 41.",Append 'paths as of 7d0f585' to line 3 or update the four link targets.,Rerun the link checker (ER-01-7) and expect broken count 0 or an explicit historical note.,Independent focused commit in assigned owner's worktree; rebase before review.,"sed -n '3p;33p;35p;41p' docs/reviews/acceptance-audit.md; find apps/ios -name '*.swift' | grep -c '/UI/' (0); python3 <scratchpad>/linkcheck.py -> 'relative links checked: 144', 'broken count: 4'. | Independent validation: docs/reviews/acceptance-audit.md:3,33,35,41; source tree has Features/** rather than UI/**.",suggestion
5,RVA-02-001,P3,Symptom record text quotes the UTC instant beside a local zone name,A: Native and domain,apps/ios/Reva/Core/SymptomEntry.swift,66,"User in America/Chicago saves a symptom observed 2026-09-11 21:15 local; SymptomEntryEditorView.swift:40 writes observedAt via RevaDate.iso (always 'Z'), so observedAt = 2026-09-12T02:15:00Z, timeZone = America/Chicago; recordText line 66 renders the pair verbatim.","In recordText format observedAt in entry.timeZone with an explicit offset (e.g. '2026-09-11 21:15 (America/Chicago, UTC-05:00)'); mirror in apps/web/src/core/symptoms.ts:57; update the pinned test strings in both clients in the same change.",SymptomEntryTests: entry 2026-09-12T02:15:00Z / America/Chicago yields record text containing '2026-09-11' and '21:15'; browser symptoms test asserts the identical string.,A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '63,67p;101,107p' apps/ios/Reva/Core/SymptomEntry.swift; sed -n '40p' apps/ios/Reva/Features/Records/SymptomEntryEditorView.swift; sed -n '77p;88p' Tests/RevaCoreTests/SymptomEntryTests.swift; evidence/r1-10-swift-test-root.log lines 104-118 (SymptomEntryTests pass as written). | Independent validation: Core/SymptomEntry.swift:63-67,101-107; browser core/symptoms.ts:57,69-81; SymptomDialog.tsx:64-68 preserves occurrence and zone.",suggestion
6,RVA-02-003,P3,Page tie-break selects the last page for zero-hit or tied multi-page records,A: Native and domain,apps/ios/Reva/Core/ReportEngine.swift,116,"Multi-page record selected by pin (score 1000) or context tag whose pages score equally for the visit focus (seed: 2-page demo-record-tibia-procedure under demo-visit-primary-20260908 scores [1,1]; any pinned scan with zero hits scores all 0).",Return lhs.offset > rhs.offset on ties (first page wins) in Swift and use 'score > maximum' in the browser; add a comment stating the rule.,Unit test: 3-page record with zero focus hits and a pin cites page 1; 2-page record with hits only on page 2 still cites page 2.,A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '112,118p' apps/ios/Reva/Core/ReportEngine.swift; sed -n '180,183p' apps/web/src/core/domain.ts; port_check.out section 4 ([(1,0),(1,0)] tie under the completed visit); Swift Sequence.max(by:) semantics. | Independent validation: Core/ReportEngine.swift:112-118; browser core/domain.ts:170-198; selected page text and cited page are the same.",suggestion
7,RVA-02-009,P3,BookingEngine.validate accepts unparsable date strings,A: Native and domain,apps/ios/Reva/Core/BookingEngine.swift,16,BookingRequest with earliest 'abc' and latest 'xyz' (only reachable via imported/synced data; native editors write RevaDate.iso).,Require both dates to parse (strict parser or != .distantPast) and add failure-path tests.,"Tests: validate throws for unparsable earliest/latest, 9-digit phone, invalid zone; confirm throws for status != proposed.",A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '11,18p;26,31p' apps/ios/Reva/Core/BookingEngine.swift; sed -n '206,215p' apps/ios/Reva/Core/Models.swift. | Independent validation: Core/BookingEngine.swift:11-18,22-34; Core/Models.swift:206-215; normal editor serializes Date.",suggestion
8,RVA-02-010,P3,Per-call formatter allocation in RevaDate and per-access sorting/hashing (unmeasured),A: Native and domain,apps/ios/Reva/Core/Models.swift,206,Any SwiftUI body evaluation that reads store.records or renders the visits list.,Cache formatters as static lets (ISO8601DateFormatter is thread-safe) and memoize sorted arrays/signatures per snapshot revision after measuring.,Timing from ER-02-02 before/after; existing tests unchanged.,A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '204,216p' apps/ios/Reva/Core/Models.swift; sed -n '91,98p' apps/ios/Reva/State/AppStore.swift; sed -n '45p' apps/ios/Reva/Features/Preparation/VisitsView.swift; ER-02-02 item 5 requests a bounded timing. | Independent validation: Core/Models.swift:206-216; State/AppStore.swift:90-98; VisitsView.swift:45; track15 has no confirmed efficiency finding.",suggestion
9,RVA-02-011,P3,VisitReport.isDemo defaults to true for locally generated reports,A: Native and domain,apps/ios/Reva/Core/Models.swift,96,ReportEngine.generate builds a VisitReport without setting isDemo; only the AI path sets it false (AppStore+AI.swift:68).,"Default isDemo to false and set true only for seeded demo reports, or drop the flag.",Test: ReportEngine.generate over a non-demo record yields report.isDemo == false.,A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '87,98p' apps/ios/Reva/Core/Models.swift; sed -n '66,68p' apps/ios/Reva/State/AppStore+AI.swift; ReportEngine.swift:140-147 (no isDemo argument). | Independent validation: Core/Models.swift:87-97; ReportEngine local construction; AppStore+AI.swift:66-68 explicitly sets false for connected output.",suggestion
10,RVA-02-012,P3,"Test gaps: Swift signature goldens, page ties, truncation boundary, booking rejections, RevaDate zones, legacy snapshot shape",A: Native and domain,Tests/RevaCoreTests/DomainTests.swift,114,Reading all seven files in Tests/RevaCoreTests.,Add the listed tests; the golden test decodes demo/seed.json and compares ReportEngine.signature to the three hex strings in domain.test.ts:24-26.,"New tests pass on the fixed code and fail when the tie-break, cut or signature inputs change.",A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"Tests/RevaCoreTests/*.swift read in full; evidence/r1-10-swift-test-root.log (44 tests, 0 failures); apps/web/src/core/__tests__/domain.test.ts:20-26 (browser holds the goldens). | Independent validation: Tests/RevaCoreTests/DomainTests.swift:114-117; symptom/profile optional decode tests; browser domain.test.ts:19-31; runner1-summary.json.",suggestion
