requirement_id,status,snapshot,files,evidence,finding_ids,reviewer,rationale
A01,Pass,fable-audit-20260912-114322 @ cfe0997+wip,snapshot-manifest.json; .audit-source-delta.patch,reports/17-evidence-runner.md; evidence/runner1-summary.json; reports/00-supervisor-brief.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Frozen SHA/267 hashes and captured13 tracked+4 untracked WIP inventory recorded; runner reports integrity retained. Later account/spec files remain separate context, not this snapshot."
A02,Pass,fable-audit-20260912-114322 @ cfe0997+wip,README.md; docs/architecture.md; docs/reva-stack-spec.md,reports/track-01.md section5; reports/track-07.md through track-16.md; evidence/context/reva-stack-spec.md,RVA-01-006,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Feature matrix maps native/browser/server to evidence and distinguishes implemented, partial, WIP and unverified. Mapping completion does not mean every feature passed."
A03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,design/palette.json; docs/reva-style-plan.md; docs/mvp-goal.md; apps/web/README.md,reports/track-01.md section4; reports/00-supervisor-brief.md Addendum1; evidence/context/reva-stack-spec.md,RVA-16-001; RVA-01-002; RVA-01-003,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Authority reconciled: heart palette/browser current; account/Tiger work WIP; old cloud proposal excluded. Source hosting guidance contradiction remains a specific L01 defect, not unresolved audit scope."
A04,Pass,fable-audit-20260912-114322 @ cfe0997+wip,Package.swift; server/Package.swift; apps/web/package.json; scripts/check_optimization_fixes.py,reports/17-evidence-runner.md; evidence/runner1-summary.json; evidence/commands.jsonl,RVA-16-002,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Fresh recorded runner commands replace historical counts; initial asset-prerequisite failures and later passes separated; void recursive lint superseded by explicit-file lint; DB/nativeUI gates explicit.
B01,Pass,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore.swift; server/Sources/RevaServer/HTTP.swift; apps/web/src/core/store.ts; scripts/check_code_structure.py,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-02,r1-03b,r1-05; reports/track-15.md",,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Runner reports contracts/sections in71 Swift+53 browser files, explicit lint86 files clean and browser formatting pass. Sampled headers describe real effects; no NASA certification claimed."
B02,Pass,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore.swift; apps/web/src/core/store.ts; apps/web/src/core/repository.ts; apps/web/src/core/api.ts,reports/track-06.md; reports/track-15.md,RVA-06-003; RVA-06-004,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"State/UI/domain/IO responsibilities are recognizable and centralized; transport helper dependency and attachment singleton/duplicated transfer rules are scoped suggestions, not demonstrated state corruption."
B03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,docs/team-workflow.md; docs/task-specs/web-client.md; apps/web/README.md,reports/track-01.md; reports/track-15.md; evidence/context/accounts-and-tiger.md,RVA-01-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Three feature lanes and captain-owned shared contracts exist. New landing/account ownership reconciliation is WIP integration guidance rather than proof current feature separation is unusable.
B04,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Records/SymptomEntryEditorView.swift; apps/ios/Reva/Features/Records/AddRecordView.swift; apps/web/src/landing/AccountGate.tsx; .gitignore,reports/track-15.md; reports/track-04.md,RVA-04-009,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Samples and inventories found small unused/stale items but no comprehensive reachability/dead-CSS/package analysis. Ignored/generated output was distinguished; no whole-repository cleanliness guarantee.
B05,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore.swift; apps/ios/Reva/Device/AudioServices.swift; apps/web/src/features/visits/VisitBrief.tsx,reports/track-03.md; reports/track-05.md; reports/track-08.md; reports/track-10.md; evidence/codex-takeover/provider-context-repro.txt,RVA-03-001; RVA-05-002; RVA-08-001; RVA-10-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Independent validators confirm recorder failure-state, stale editor and provider-publication defects. Production failure/publication paths need correction despite generally explicit errors and validation."
C01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore.swift; apps/ios/Reva/Features/Shared/SummaryView.swift; apps/ios/Reva/Features/Shared/RootView.swift,reports/track-04.md; reports/track-03.md; evidence/codex-takeover/provider-context-repro.txt,RVA-04-001; RVA-04-002; RVA-03-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Production Swift harness reproduces wrong next-visit ordering and startup repair hiding valid data. Full native navigation/modal error journeys remain unverified; alert stacking is only a candidate.
C02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/App.tsx; apps/web/src/main.tsx; apps/web/src/landing/AccountGate.tsx,evidence/r2-ui-matrix.jsonl; evidence/ui/; reports/track-14.md; reports/track-16.md,RVA-16-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Static main/detail/dialog routes were captured at six widths; reload/history/cancel/reopen journeys were not executed. Real account forms and/app are WIP; hosted routing is separately L01.
C03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Shared/SummaryView.swift; apps/ios/Reva/Features/Shared/RootView.swift; apps/web/src/features/Dashboard.tsx; apps/web/src/features/SettingsPage.tsx,reports/track-04.md; reports/track-14.md; evidence/ui/demo-summary-1440.png,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Source links and fresh browser image show View all, symptom entry and medical profile access; Appearance and obsolete retention tile absent. Native route callback traced; no new native UI tap test."
C04,Pass,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Profile/MedicalProfileView.swift; apps/ios/Reva/State/AppStore+Profile.swift; apps/web/src/features/profile/MedicalProfilePage.tsx,reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10; reports/track-04.md; reports/track-07.md,RVA-04-013,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Persistent profile fields/optional legacy values and not-provided wording traced; native profile tests pass. Fictional-demo labeling after editing is a suggestion; full browser profile journey not newly executed.
C05,Pass,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/ReportEngine.swift; apps/ios/Reva/State/AppStore+AI.swift; apps/web/src/features/profile/MedicalProfilePage.tsx; server/Sources/RevaServer/Providers/GeminiModels.swift,reports/track-01.md C05; reports/track-07.md C05; reports/track-10.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Profile is disclosed quick-reference context; preparation consumes Records including symptom records. Saving profile does not rewrite source evidence; no false claim profile allergies already drive retrieval.
C06,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/SymptomEntry.swift; apps/ios/Reva/State/AppStore+Symptoms.swift; apps/web/src/core/symptoms.ts; apps/web/src/features/records/SymptomDialog.tsx,reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10; reports/track-02.md; reports/track-07.md,RVA-02-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Validation/identity/version/optional fields have source and unit evidence. UTC-plus-zone wording is a readability suggestion after validation, not demonstrated time corruption. The complete native/browser entry-edit-reload journey remains unexecuted."
D01,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Device/DocumentImportService.swift; apps/ios/Reva/Device/DocumentScanner.swift; apps/ios/Reva/Features/Records/AddRecordView.swift; apps/web/src/features/records/extractDocument.ts,reports/track-05.md; reports/track-07.md,RVA-05-003,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Finite byte/page/pixel/text controls are present. Malformed/corrupt/oversized corpus, camera assembly cost and timeout/cancel behavior were not executed; do not infer robustness from compilation."
D02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/LocalRepository.swift; apps/ios/Reva/Core/Models.swift; apps/web/src/core/repository.ts; apps/web/src/features/records/ImportDialog.tsx,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10,r1-12,r1-13,r1-16,r1-17; reports/track-07.md",RVA-03-008; RVA-03-004; RVA-06-009; RVA-07-002,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Bytes/metadata and local round trips tested; native/user originals lack stored contentSHA256; attachment-before-snapshot and pull collision paths require qualified handling. Whole preservation requirement cannot pass.
D03,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Device/DocumentImportService.swift; apps/web/src/features/records/extractDocument.ts,reports/track-05.md; reports/track-07.md,RVA-07-001; RVA-05-004,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Both independent validators confirm the mixed-page OCR omission from complete source branches. Runtime extraction of a mixed PDF remains unverified; source confirmation does not claim such execution.
D04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/features/records/ImportDialog.tsx; apps/web/src/core/repository.ts; apps/ios/Reva/Features/Records/AddRecordView.swift,reports/track-07.md; reports/track-04.md,RVA-07-002; RVA-04-002; RVA-04-014,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,RVA-07-002 is independently confirmed P3: original attachment keys can be left unused by failed snapshot CAS and retries allocate new keys. Physical byte duplication/quota exhaustion is unmeasured. Native alert stacking remains a candidate.
D05,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/ReportEngine.swift; apps/web/src/core/domain.ts; apps/web/src/features/records/extractDocument.ts; server/Sources/RevaServer/Providers/GeminiService.swift,reports/track-02.md; reports/track-07.md; reports/track-10.md; evidence/codex-takeover/provider-context-repro.txt,RVA-07-001; RVA-02-002; RVA-02-005; RVA-10-002,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Production Swift harness reproduces dose100mg clipped to unmarked dose10 and ordinary content stripped by fixture-marker heuristic. Mixed-page omission also source-demonstrated; live Gemini medical fidelity unverified.
D06,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Records/AddRecordView.swift; apps/ios/Reva/Features/Records/RecordsView.swift; apps/web/src/features/records/RecordsPage.tsx,reports/track-04.md D06; reports/track-07.md D06,RVA-04-006,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"RVA-04-006 is independently source-confirmed: camera PDFs are classified Notes and omitted by the exact Scan filter, with no kind editor. Other browser search/filter paths were traced; native UI execution is not claimed."
E01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/State/AppStore.swift; apps/ios/Reva/Features/Preparation/VisitEditorView.swift; apps/web/src/features/visits/VisitBrief.tsx,reports/track-04.md; reports/track-08.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-07b; evidence/codex-takeover/provider-context-repro.txt,RVA-04-001; RVA-08-001; RVA-04-003; RVA-04-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Production Swift harness reproduces raw ISO sorting of08:45Z before08:00Z. Browser notes modal can erase generated questions; main date/editor merge tests pass; lifecycle/timezone suggestions separate.
E02,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/ReportEngine.swift; apps/web/src/core/domain.ts; demo/expected-evidence.json,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10,r1-07b; reports/track-02.md; reports/track-08.md",RVA-02-003; RVA-02-004,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Specified implant/ear scenarios pass, but independent validation confirms generic goal/fixture terms can select the unrelated ear record for another supplied visit (RVA-02-004). Broader clinical relevance remains unverified."
E03,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Core/ReportEngine.swift; apps/ios/Reva/State/AppStore+AI.swift; apps/web/src/features/visits/VisitBrief.tsx; server/Sources/RevaServer/Providers/GeminiService.swift,"reports/17-evidence-runner.md; evidence/runner1-summary.json r1-10,r1-12; reports/track-02.md; reports/track-10.md; evidence/codex-takeover/provider-context-repro.txt",RVA-02-002; RVA-02-003; RVA-02-005; RVA-10-002,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Production Swift harness reproduces unmarked excerpt changing displayed dose100mg to dose10 and source-wrapper omission. Clinical model entailment and full source-link UI journey remain unverified; structural ID guards pass.
E04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/features/visits/VisitBrief.tsx; apps/ios/Reva/State/AppStore+AI.swift; apps/ios/Reva/Core/ReportEngine.swift; apps/web/src/core/domain.ts,"reports/track-08.md; reports/track-04.md; reports/track-10.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-07b,r1-17; evidence/codex-takeover/provider-context-repro.txt",RVA-08-001; RVA-04-005; RVA-10-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,BriefNotesEditor can erase generated questions. Production Swift harness now confirms all3 browser signature goldens; RVA-06-002 is closed by evidence. Native reverse-editor race and provider boundary separately adjudicated.
