rank,id,severity,title,owner,file,line,trigger,smallest_fix,regression_check,dependency_and_coordination,evidence,status
1,RVA-10-001,P2,Native provider results can publish after the server identity or active workspace has changed,A: Native and domain,apps/ios/Reva/State/AppStore+AI.swift,17,"Start native summarizeWithAI, then edit the server token/URL in Settings before the response arrives. The source ID/text/version can remain unchanged, so the result from the previous identity is saved. More seriously, a pending live-call status result can arrive after a pull replaces the workspace with a snapshot containing the same booking ID.",Reuse the connection-generation guard and a workspace replacement generation in all provider mutation methods; preserve allowed unrelated edits via existing field/signature guards. Treat stale success and stale error paths consistently. Preserve the already-submitted call receipt and require polling under the original owner.,"Controlled ProviderClient double suspends summary/status, changes connectionToken or replaces snapshot while suspended, then returns old response; assert no old summary/transcript/status/notices are written. Repeat switch-away-and-back. Separate unchanged-identity control must still save.",A owns shared AppStore integration. Land connection guards before adjacent startup/order edits; preserve source/version protections.,"Source proof: AppStore+AI.swift:12-29,37-81; AppStore.swift:25-49; Features/Shared/SettingsView.swift:22-28,68-75,107-110; AppStore+LiveCalls.swift:20-43,53-59. Refutation: isProviderBusy prevents another provider command, not connection edits or sync/reset. Existing generation checks in AppStore+Providers/+Sync do not wrap these independent methods. Runtime reproduction requested from coordinator; no live request was made. | Independent validation: Frozen apps/ios/Reva/State/AppStore+AI.swift:12-30,34-86; AppStore.swift:25-49; AppStore+LiveCalls.swift:11-61; Features/Shared/SettingsView.swift:22-26,75,107-109. Coordinator evidence/codex-takeover/provider-context-repro.txt: Compiler exit 0, Run exit 0 and both named REPRODUCED observations; ProviderContextRepro.swift; run-provider-context-repro.py; provider-context-production-hashes.json. Trigger: connection switch, then optional workspace replacement retaining the target stable ID, during await.",confirmed
2,RVA-02-002,P2,"1800-character excerpt cut can split a value, unit or negation with no marker",A: Native and domain,apps/ios/Reva/Core/ReportEngine.swift,15,A record page whose first 24 non-blank content lines join to more than 1800 characters (e.g. an OCR'd lab table of 24 lines x ~80 chars). localExcerpt (line 15) is stored as the summary after each text edit (RecordEditorView.swift:65-67) and is the report quotation for pages without a focus hit; relevantExcerpt applies the same cut at line 165.,"Bound excerpts at a complete line or safe token boundary. Disclose truncation outside the exact quoted-source field, preserving exact substring citations and full original text. Apply equivalent native/browser rules.","Exercise numeric value, unit, dose, negation and Unicode boundaries at the cap. Verify the quoted field is an exact complete source span and omission is visibly disclosed separately. Include the saved 100 mg-to-10 reproduction.",A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '14,16p;161,165p' apps/ios/Reva/Core/ReportEngine.swift; scratchpad port_check.out section 5 (seed max 888); ER-02-02 item 4 requests the Swift demonstration. | Independent validation: Core/ReportEngine.swift:14-15,161-165; browser core/domain.ts:60-61,145-161; evidence/codex-takeover/ProviderContextRepro.swift:110-114; evidence/codex-takeover/provider-context-repro.txt:1,7,15 (compiler/run exit 0; production Swift boundary reproduced).",confirmed
3,RVA-02-005,P2,Fixture-wrapper stripping is applied to every user document,A: Native and domain,apps/ios/Reva/Core/ReportEngine.swift,21,"A real uploaded document whose first 10 non-blank lines contain a line starting 'Source date:' or 'Week ending:', or any line starting 'Invented for Reva software demonstration.'.","Restrict fixture-wrapper removal to explicitly synthetic, recognized fixtures, or move fixture metadata outside source text. Preserve all ordinary uploaded content; do not infer demo provenance from a Source date header.",Unit test: non-demo record starting 'Source date: 2026-09-01\nPotassium 4.1 mmol/L' keeps both lines in localExcerpt.,A owns native ReportEngine; coordinate equivalent browser domain change with B and preserve signature goldens. Serialize changes to the same domain file.,"sed -n '17,30p' apps/ios/Reva/Core/ReportEngine.swift; sed -n '40p' apps/ios/Reva/Core/Models.swift. | Independent validation: Core/ReportEngine.swift:17-29; browser core/domain.ts:45-61; no isDemo input at either boundary; evidence/codex-takeover/ProviderContextRepro.swift:115-118; evidence/codex-takeover/provider-context-repro.txt:1,7,16 (compiler/run exit 0; production Swift header omission reproduced).",confirmed
4,RVA-05-004,P2,Native mixed PDF pages can skip raster text when a short embedded header passes the OCR threshold,A: Native and domain,apps/ios/Reva/Device/DocumentImportService.swift,257,"Import a scanned PDF whose pages are images plus a small embedded text line of >= 20 characters (fax header 'Received 2026-09-12 14:03 Page 1/4', scanner date stamp, or a 'CONFIDENTIAL' footer).",Detect incomplete embedded-text coverage or raster content and run bounded OCR on affected pages. Preserve page provenance and require review when completeness cannot be established. Merely increasing the character threshold is insufficient.,Harness PDF: page with a full-size text image plus a 30-character embedded header; assert pageTexts[0] contains the image text and the OCR review warning is present.,Independent focused commit in assigned owner's worktree; rebase before review.,"Source: DocumentImportService.swift:256-278 (sed -n verified). Refutation attempt: checked whether any later step compares embedded-text density to page area or adds a warning; none (limitedText and the empty-text warnings only trigger on empty results). | Independent validation: Device/DocumentImportService.swift:256-278; browser counterpart is RVA-07-001 (validated independently by19, not this reviewer's own finding).",confirmed
5,RVA-07-001,P2,Mixed PDF pages with a text header skip OCR of their scanned medical content without an incomplete warning,B: Browser and accessibility,apps/web/src/features/records/extractDocument.ts,289,Import a one-page PDF containing at least 35 nonwhitespace embedded header characters and a raster image containing the substantive medical findings. The page is within all size/time bounds and PDF.js reads the header successfully.,"Detect raster content or uncertain embedded-text coverage, OCR affected pages within existing budgets, and surface a page warning when completeness is uncertain. Preserve the original and avoid duplicate merged text. Do not rely on a larger character threshold alone.",Synthetic one-page PDF with a >35-character text header plus a raster line containing a unique medical token: require the token to be extracted or incomplete=true with a clear warning; verify an ordinary text PDF still preserves exact page mapping and the original bytes.,Independent focused commit in assigned owner's worktree; rebase before review.,"Source proof: extractDocument.ts:279-289 reads embedded text and selects OCR solely by character count; 297-302 is the sole PDF raster/OCR branch; 308-311 only marks an empty page incomplete; 362-372 only warn on empty overall text or usedOCR. ImportDialog.tsx:141-143 and 298-307 permit ready status when incomplete=false and reviewed=true. Parallel native threshold issue exists as RVA-05-004. Synthetic mixed-PDF execution requested from coordinator; no runtime reproduction claimed in this report. | Independent validation: Frozen apps/web/src/features/records/extractDocument.ts:279-311,362-372; apps/web/src/features/records/ImportDialog.tsx:142. Trigger: embedded header >=35 characters plus raster medical body. Impact: source text and later retrieval omit the raster facts.",confirmed
6,RVA-05-001,P2,Visit-notes editor saves a stale whole VisitRecording and can erase a transcript that arrived while the sheet was open,A: Native and domain,apps/ios/Reva/Features/Visits/RecordingNotesEditor.swift,26,"On RecordingDetailView, tap 'Transcribe saved audio' (async, isProviderBusy does not disable 'Edit visit notes'), then open 'Edit visit notes' while transcription runs. Transcription completes and AppStore.transcribeRecording saves segments/transcriptionModel/status='transcribed' (AppStore+Transcription.swift:36-39). Tap Save in the notes sheet.","Save notes through a field-targeted mutation, e.g. AppStore.updateRecordingNotes(id:summary:) that mutates only data.recordings[i].summary inside mutate; RecordingNotesEditor keeps only the recording ID plus a String draft. Optionally also disable 'Edit visit notes' while isProviderBusy.","Isolated macOS AppStore harness (pattern in docs/task-specs/transcript-correction.md): create recording R with no segments; capture a notes draft; save R with two segments and transcriptionModel; apply the notes save with the stale draft; assert R.segments.count == 2, transcriptionModel unchanged, summary == draft notes.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source: RecordingNotesEditor.swift:15,26 (sed -n verified); AppStore+Recordings.swift:11-19 whole-object replace; RecordingDetailView.swift:74-80 (transcribe Task) and :127-128 ('Edit visit notes' not disabled during isProviderBusy) and :140-142 (sheet content re-evaluated but @State initial value is not reapplied); AppStore+Transcription.swift:18-20 shows the transcription path itself re-reads 'latest' before saving, i.e. the store already models this overlap as possible. Refutation attempt: checked whether SwiftUI recreates the editor state when the parent's 'recording' changes; State(initialValue:) applies only on first identity creation, so the draft stays stale. Contrast: TranscriptTextEditor + saveMemory guard Set(ids) == Set(keys) and reject a changed transcript (AppStore+Recordings.swift:49-55); the notes path has no equivalent guard. | Independent validation: RecordingNotesEditor.swift:15,19-26; State/AppStore+Recordings.swift:11-18; RecordingDetailView transcribe and note-edit controls; AppStore+Transcription latest publication.",confirmed
7,RVA-04-005,P2,Native record editor can replace a newly saved AI summary with its stale draft,A: Native and domain,apps/ios/Reva/Features/Records/RecordEditorView.swift,62,"Open a record editor, let a summary request finish for that unchanged record, then save only a notes/title edit from the open form.",At save time load the current record and apply only form-owned fields. Preserve its current summary/model unless source text actually changed. Reject conflicting source edits explicitly.,Keep an editor draft open while a provider summary arrives; save a notes-only edit and assert the latest summary/model survive. Separately check changed source text invalidates summary/page mapping deliberately.,Independent focused commit in assigned owner's worktree; rebase before review.,"VisitEditorView.swift:99-117; RecordEditorView.swift:15-22,61-75; AppStore+AI.swift:17-28,74-81; ReportEditorView.swift:37 (correct rebasing pattern). Refutation attempt: confirmed no `store.visit(existing.id)`/`store.record(original.id)` rebase in either save(), and that AppStore.save(visit)/save(record) replace the whole element (AppStore+Visits.swift:16-20, AppStore+Records.swift:25). | Independent validation: RecordEditorView.swift:15-22,61-75; State/AppStore+Records.swift:11-25; AppStore+AI.swift:17-28; VisitEditorView.swift:15,100-117; VisitDetailView.swift:152.",confirmed
8,RVA-08-001,P2,Questions-and-notes editor compares against live props and can erase questions generated after it opened,B: Browser and accessibility,apps/web/src/features/visits/VisitBrief.tsx,221,"On a visit with no report and empty questions, start preparation and open Add questions & notes before the asynchronous preparation completes. Leave its questions field untouched, edit notes, let preparation publish suggested questions and rerender the still-open editor, then save.","Capture an immutable notes/questions baseline on mount and merge only user-edited fields at the serialized mutation boundary, following applyVisitEditorValues. Reject genuinely competing edits; preserve generated questions when their local form field was untouched.","Render the real notes editor with empty questions, edit only notes, rerender it after same-store preparation publishes questions, submit, and assert the generated questions and new notes both survive. A competing user edit to an edited field must reject without partial writes.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source proof: VisitBrief.tsx:99 permits asynchronous preparation, 196-201 leaves Add questions & notes available while it is running and passes live visit props; BriefNotesEditor 207-210 captures local form values but no original baseline; 218-235 uses current props to compare and writes both fields. store.ts:304-316 can publish questions on first preparation. VisitEditor/applyVisitEditorValues uses a stable baseline and changed-field merge instead (visitEdits.ts:64-87), proving a narrowly reusable fix exists. DOM-level reproduction requested from coordinator; no reproduction claimed here. | Independent validation: Frozen apps/web/src/features/visits/VisitBrief.tsx:99,196-201,207-235; apps/web/src/core/store.ts:304-316; apps/web/src/core/visitEdits.ts:64-87 provides the separate stable-baseline merge pattern. Trigger: open Add questions & notes during first asynchronous preparation, edit notes only, let preparation finish, save.",confirmed
9,RVA-03-001,P2,Startup repair save failure hides a valid loaded snapshot and offers only an unconfirmed demo reset,A: Native and domain,apps/ios/Reva/State/AppStore.swift,86,"LocalRepository.load() succeeds and the loaded snapshot contains the legacy demo title on demo-record-symptom-diary or a non-live booking in queued/calling status; the repair write in AppStore.init (save(sample) at line 70 or mutate at line 75) then fails, e.g. device storage full so state.backup.json/state.json cannot be written.","Move the two repair mutations out of the load do/catch into their own do/catch that sets errorMessage or notice, reserving startupError for load failures; wrap the RootView reset button in the same confirmation dialog Settings uses.","OptimizationChecks-style check: save a fixture with a queued non-live booking to a temp LocalRepository, make state.backup.json a directory, construct AppStore(repository:), assert startupError == nil, snapshot != nil, errorMessage/notice set, and the booking still reads queued.",A owns shared AppStore integration. Land connection guards before adjacent startup/order edits; preserve source/version protections.,"Source proof: AppStore.swift:58-86 (repair mutations 65-82 inside the load do/catch), AppStore.swift:111-116 (mutate throws from repository.save before publishing), RootView.swift:21-29, AppStore.swift:138. Refutation attempts: line 60 runs before either repair so snapshot is non-nil; grep over apps/ios shows startupError is cleared only by resetDemo; RootView gates on nothing else; demo/seed.json already has the new title so the rename repair affects only older installs, but the booking repair applies to any interrupted simulation. Not reproduced at runtime; see evidence request ER-03-5 in reports/track-03.md. | Independent validation: AppStore.swift:59-86,111-115,130-138; Features/Shared/RootView.swift:21-29. evidence/codex-takeover/provider-context-repro.txt (compiler exit0, run exit0); evidence/codex-takeover/ProviderContextRepro.swift:73-108 uses production ReportEngine/AppStore/LocalRepository with synthetic data and a controlled transport double.",confirmed
10,RVA-05-008,P2,"After a successful finish(), a failed metadata save orphans the finalised audio with no retry path",A: Native and domain,apps/ios/Reva/Features/Visits/RecordingSessionView.swift,103,"recorder.finish() succeeds (ownership of the .m4a transfers to the caller, AudioServices.swift:217-223) and store.save(recording) then throws (repository write failure, or snapshot validation such as the visit no longer existing).",Keep the finished URL in view state when save fails and render a 'Retry saving recording' button that re-runs only store.save(recording) with the same VisitRecording value.,"Harness with a failing repository double: finish then save failure, then retry succeeds and the VisitRecording references the same audioFilename.",Independent focused commit in assigned owner's worktree; rebase before review.,"Source: RecordingSessionView.swift:97-106 (sed -n verified), 47-63; AudioServices.swift:217-223. | Independent validation: RecordingSessionView.swift:47-63,97-105; Device/AudioServices.swift:217-223; AppStore.perform catches without retaining a pending recording model.",confirmed
